work_code,work_pl,work_unit,branch,material_type,material_ref,material_unit,norm_qty,packages,waste_pct,justification_pl,justification_ru,source_type,source_doc,source_url,source_ref
8.04,Szlifowanie tynku - glify okienne lub wnęki,mb,construction,PAPIER_SCIERNY,Siatka ścierna arkusz gr.240,szt,0.20,"norm,lux",0,Wariant norm/lux; szlifowanie glifu zuzywa ~0.2 arkusza siatki gr.240 na mb do wykonczenia powierzchni.,Вариант norm/lux; шлифование откоса расходует ~0.2 листа сетки зерно 240 на пм для финишной поверхности.,expert,Praktyka wykonawcza (material scierny zuzywalny),,zalozenie eksperckie ~0.2 arkusza/mb; SKU siatki gr.240
8.05,Szlifowanie tynku - sufit,m2,construction,PAPIER_SCIERNY,Papier ścierny arkusz gr.120,szt,0.15,budget,0,Szlifowanie sufitu zuzywa ~0.15 arkusza papieru gr.120 na m2; Excel wpisal tu gladz start/finish - pominieto jako artefakt kopiowania.,Шлифование потолка расходует ~0.15 листа бумаги зерно 120 на м2; Excel вписал сюда шпаклёвку start/finish - опущено как артефакт копирования.,expert,Praktyka wykonawcza (material scierny zuzywalny),,zalozenie eksperckie ~0.15 arkusza/m2; SKU papieru gr.120
8.05,Szlifowanie tynku - sufit,m2,construction,PAPIER_SCIERNY,Siatka ścierna arkusz gr.240,szt,0.15,"norm,lux",0,Wariant norm/lux; szlifowanie sufitu ~0.15 arkusza siatki gr.240 na m2 do wykonczenia.,Вариант norm/lux; шлифование потолка ~0.15 листа сетки зерно 240 на м2 для финиша.,expert,Praktyka wykonawcza (material scierny zuzywalny),,zalozenie eksperckie ~0.15 arkusza/m2; SKU siatki gr.240
8.06,Szlifowanie tynku - ściany,m2,construction,PAPIER_SCIERNY,Papier ścierny arkusz gr.120,szt,0.15,budget,0,Szlifowanie sciany zuzywa ~0.15 arkusza papieru gr.120 na m2; kolumny gladzi w Excelu pominieto jako artefakt.,Шлифование стены расходует ~0.15 листа бумаги зерно 120 на м2; столбцы шпаклёвки в Excel опущены как артефакт.,expert,Praktyka wykonawcza (material scierny zuzywalny),,zalozenie eksperckie ~0.15 arkusza/m2; SKU papieru gr.120
8.06,Szlifowanie tynku - ściany,m2,construction,PAPIER_SCIERNY,Siatka ścierna arkusz gr.240,szt,0.15,"norm,lux",0,Wariant norm/lux; szlifowanie sciany ~0.15 arkusza siatki gr.240 na m2 do wykonczenia.,Вариант norm/lux; шлифование стены ~0.15 листа сетки зерно 240 на м2 для финиша.,expert,Praktyka wykonawcza (material scierny zuzywalny),,zalozenie eksperckie ~0.15 arkusza/m2; SKU siatki gr.240
8.07,Gładzie x1 - glify okienne lub wnęki,mb,construction,GLADZ_GIPSOWA,Gładź gipsowa Dolina Nidy Omega 20kg,kg,1.40,budget,0,Gladz x1 na glifie zuzywa ~1.4 kg/mb (Excel start 1.0 + finish 0.4); gladz gipsowa ~1 kg/m2/mm potwierdza rzad wielkosci.,Шпаклёвка x1 на откосе расходует ~1.4 кг/пм (Excel старт 1.0 + финиш 0.4); гипсовая шпаклёвка ~1 кг/м2/мм подтверждает порядок.,excel,Excel Matrix v3.0 Oferta,,"wiersz 8.07 arkusza Oferta, kolumny start+finish"
8.07,Gładzie x1 - glify okienne lub wnęki,mb,construction,GLADZ_GIPSOWA,Gładź gipsowa Atlas Omega 20kg,kg,1.40,budget,0,"Analog budzetowy; gladz x1 na glifie ~1.4 kg/mb, zuzycie gladzi gipsowej Atlas Omega ~1 kg/m2/mm.","Бюджетный аналог; шпаклёвка x1 на откосе ~1.4 кг/пм, расход гипсовой шпаклёвки Atlas Omega ~1 кг/м2/мм.",producer_tds,Atlas Omega — Karta produktu,https://www.atlas.com.pl/produkt/omega/,sekcja srednie zuzycie (~0.8 kg/m2/mm)
8.07,Gładzie x1 - glify okienne lub wnęki,mb,construction,GLADZ_POLIMEROWA,Gładź gipsowa Knauf MP Finish 25kg,kg,1.30,norm,0,Wariant norm; lepsze krycie gladzi Knauf MP Finish daje nieco nizsze zuzycie ~1.3 kg/mb na glifie.,Вариант norm; лучшее укрытие шпаклёвки Knauf MP Finish даёт чуть меньший расход ~1.3 кг/пм на откосе.,producer_tds,Knauf MP/Multi-Finish — Karta produktu,https://knauf.com/de-DE/p/produkt/multi-finish-10268_0010,sekcja Verbrauch (~1 kg/m2/mm)
8.07,Gładzie x1 - glify okienne lub wnęki,mb,construction,GLADZ_GOTOWA_MASA,Gotowa masa szpachlowa Knauf Super Finish 28kg,kg,1.20,lux,0,Wariant lux; gotowa masa Super Finish nakladana cienka rowna warstwa => ~1.2 kg/mb na glifie.,Вариант lux; готовая масса Super Finish наносится тонким ровным слоем => ~1.2 кг/пм на откосе.,producer_tds,Knauf Super Finish — Karta produktu,https://knauf.com/de-DE/p/produkt/super-finish-11410_0010,sekcja Verbrauch
8.08,Gładzie x1 - sufit,m2,construction,GLADZ_GIPSOWA,Gładź gipsowa Dolina Nidy Omega 20kg,kg,1.40,budget,0,Gladz x1 sufitu zuzywa ~1.4 kg/m2 (Excel start 1.0 + finish 0.4).,Шпаклёвка x1 потолка расходует ~1.4 кг/м2 (Excel старт 1.0 + финиш 0.4).,excel,Excel Matrix v3.0 Oferta,,"wiersz 8.08 arkusza Oferta, kolumny start+finish"
8.08,Gładzie x1 - sufit,m2,construction,GLADZ_GIPSOWA,Gładź gipsowa Atlas Omega 20kg,kg,1.40,budget,0,Analog budzetowy; gladz x1 sufitu ~1.4 kg/m2 wg zuzycia Atlas Omega ~1 kg/m2/mm.,Бюджетный аналог; шпаклёвка x1 потолка ~1.4 кг/м2 по расходу Atlas Omega ~1 кг/м2/мм.,producer_tds,Atlas Omega — Karta produktu,https://www.atlas.com.pl/produkt/omega/,sekcja srednie zuzycie (~0.8 kg/m2/mm)
8.08,Gładzie x1 - sufit,m2,construction,GLADZ_POLIMEROWA,Gładź gipsowa Knauf MP Finish 25kg,kg,1.30,norm,0,Wariant norm; gladz Knauf MP Finish x1 sufitu ~1.3 kg/m2 (lepsze krycie).,Вариант norm; шпаклёвка Knauf MP Finish x1 потолка ~1.3 кг/м2 (лучшее укрытие).,producer_tds,Knauf MP/Multi-Finish — Karta produktu,https://knauf.com/de-DE/p/produkt/multi-finish-10268_0010,sekcja Verbrauch (~1 kg/m2/mm)
8.08,Gładzie x1 - sufit,m2,construction,GLADZ_GOTOWA_MASA,Gotowa masa szpachlowa Knauf Super Finish 28kg,kg,1.20,lux,0,Wariant lux; gotowa masa Super Finish x1 sufitu ~1.2 kg/m2 cienka warstwa.,Вариант lux; готовая масса Super Finish x1 потолка ~1.2 кг/м2 тонким слоем.,producer_tds,Knauf Super Finish — Karta produktu,https://knauf.com/de-DE/p/produkt/super-finish-11410_0010,sekcja Verbrauch
8.09,Gładzie x1 - ściany,m2,construction,GLADZ_GIPSOWA,Gładź gipsowa Dolina Nidy Omega 20kg,kg,1.40,budget,0,Gladz x1 sciany zuzywa ~1.4 kg/m2 (Excel start 1.0 + finish 0.4).,Шпаклёвка x1 стены расходует ~1.4 кг/м2 (Excel старт 1.0 + финиш 0.4).,excel,Excel Matrix v3.0 Oferta,,"wiersz 8.09 arkusza Oferta, kolumny start+finish"
8.09,Gładzie x1 - ściany,m2,construction,GLADZ_GIPSOWA,Gładź gipsowa Atlas Omega 20kg,kg,1.40,budget,0,Analog budzetowy; gladz x1 sciany ~1.4 kg/m2 wg zuzycia Atlas Omega ~1 kg/m2/mm.,Бюджетный аналог; шпаклёвка x1 стены ~1.4 кг/м2 по расходу Atlas Omega ~1 кг/м2/мм.,producer_tds,Atlas Omega — Karta produktu,https://www.atlas.com.pl/produkt/omega/,sekcja srednie zuzycie (~0.8 kg/m2/mm)
8.09,Gładzie x1 - ściany,m2,construction,GLADZ_POLIMEROWA,Gładź polimerowa Śnieżka Acryl-Putz ST20 Start,kg,1.30,norm,0,Wariant norm; polimerowa gladz Acryl-Putz ST20 Start x1 sciany ~1.3 kg/m2 wg zuzycia z karty producenta.,Вариант norm; полимерная шпаклёвка Acryl-Putz ST20 Start x1 стены ~1.3 кг/м2 по расходу из карты производителя.,producer_tds,Śnieżka ACRYL-PUTZ ST20 Start — Karta techniczna,https://www.acrylputz.pl/dokumentacja,"karta ST20 START, sekcja Zuzycie"
8.09,Gładzie x1 - ściany,m2,construction,GLADZ_GOTOWA_MASA,Gotowa gładź polimerowa Śnieżka Acryl-Putz FS20 Finisz,kg,1.10,lux,0,Wariant lux; gotowa masa finiszowa Acryl-Putz FS20 x1 sciany cienka warstwa ~1.1 kg/m2.,Вариант lux; готовая финишная масса Acryl-Putz FS20 x1 стены тонким слоем ~1.1 кг/м2.,producer_tds,Śnieżka ACRYL-PUTZ FS20 Finisz — Karta techniczna,https://www.acrylputz.pl/dokumentacja,"karta FS20 FINISZ, sekcja Zuzycie"
8.10,Gładzie x2 - glify okienne lub wnęki (odp. Q3),mb,construction,GLADZ_GIPSOWA,Gładź gipsowa Dolina Nidy Omega 20kg,kg,1.40,budget,0,"Gladz x2 na glifie ~1.4 kg/mb - waski metraz glifu, norma glifu jest plaska niezaleznie od liczby warstw (konwencja pilota).","Шпаклёвка x2 на откосе ~1.4 кг/пм - узкий метраж откоса, норма откоса плоская независимо от числа слоёв (соглашение пилота).",excel,Excel Matrix v3.0 Oferta,,"wiersz 8.10 arkusza Oferta, kolumny start+finish"
8.10,Gładzie x2 - glify okienne lub wnęki (odp. Q3),mb,construction,GLADZ_GIPSOWA,Gładź gipsowa Atlas Omega 20kg,kg,1.40,budget,0,Analog budzetowy; gladz x2 na glifie ~1.4 kg/mb (metraz glifu waski).,Бюджетный аналог; шпаклёвка x2 на откосе ~1.4 кг/пм (метраж откоса узкий).,producer_tds,Atlas Omega — Karta produktu,https://www.atlas.com.pl/produkt/omega/,sekcja srednie zuzycie (~0.8 kg/m2/mm)
8.10,Gładzie x2 - glify okienne lub wnęki (odp. Q3),mb,construction,GLADZ_POLIMEROWA,Gładź gipsowa Knauf MP Finish 25kg,kg,1.30,norm,0,Wariant norm; gladz Knauf MP Finish na glifie ~1.3 kg/mb.,Вариант norm; шпаклёвка Knauf MP Finish на откосе ~1.3 кг/пм.,producer_tds,Knauf MP/Multi-Finish — Karta produktu,https://knauf.com/de-DE/p/produkt/multi-finish-10268_0010,sekcja Verbrauch (~1 kg/m2/mm)
8.10,Gładzie x2 - glify okienne lub wnęki (odp. Q3),mb,construction,GLADZ_GOTOWA_MASA,Gotowa masa szpachlowa Knauf Super Finish 28kg,kg,1.20,lux,0,Wariant lux; gotowa masa Super Finish na glifie ~1.2 kg/mb.,Вариант lux; готовая масса Super Finish на откосе ~1.2 кг/пм.,producer_tds,Knauf Super Finish — Karta produktu,https://knauf.com/de-DE/p/produkt/super-finish-11410_0010,sekcja Verbrauch
8.11,Gładzie x2 - sufit (odp. Q3),m2,construction,GLADZ_GIPSOWA,Gładź gipsowa Dolina Nidy Omega 20kg,kg,2.00,budget,0,Gladz x2 sufitu ~2.0 kg/m2 (Excel start 1.3 + finish 0.7 dla dwoch warstw).,Шпаклёвка x2 потолка ~2.0 кг/м2 (Excel старт 1.3 + финиш 0.7 для двух слоёв).,excel,Excel Matrix v3.0 Oferta,,"wiersz 8.11 arkusza Oferta, kolumny start+finish"
8.11,Gładzie x2 - sufit (odp. Q3),m2,construction,GLADZ_GIPSOWA,Gładź gipsowa Atlas Omega 20kg,kg,2.00,budget,0,Analog budzetowy; gladz x2 sufitu ~2.0 kg/m2.,Бюджетный аналог; шпаклёвка x2 потолка ~2.0 кг/м2.,producer_tds,Atlas Omega — Karta produktu,https://www.atlas.com.pl/produkt/omega/,sekcja srednie zuzycie (~0.8 kg/m2/mm)
8.11,Gładzie x2 - sufit (odp. Q3),m2,construction,GLADZ_POLIMEROWA,Gładź gipsowa Knauf MP Finish 25kg,kg,1.90,norm,0,Wariant norm; lepsze krycie gladzi Knauf MP Finish => x2 sufitu ~1.9 kg/m2.,Вариант norm; лучшее укрытие Knauf MP Finish => x2 потолка ~1.9 кг/м2.,producer_tds,Knauf MP/Multi-Finish — Karta produktu,https://knauf.com/de-DE/p/produkt/multi-finish-10268_0010,sekcja Verbrauch (~1 kg/m2/mm)
8.11,Gładzie x2 - sufit (odp. Q3),m2,construction,GLADZ_GOTOWA_MASA,Gotowa masa szpachlowa Knauf Super Finish 28kg,kg,1.80,lux,0,Wariant lux; gotowa masa Super Finish x2 sufitu ~1.8 kg/m2 cienkimi warstwami.,Вариант lux; готовая масса Super Finish x2 потолка ~1.8 кг/м2 тонкими слоями.,producer_tds,Knauf Super Finish — Karta produktu,https://knauf.com/de-DE/p/produkt/super-finish-11410_0010,sekcja Verbrauch
8.12,Gładzie x2 - ściany (odp. Q3),m2,construction,GLADZ_GIPSOWA,Gładź gipsowa Dolina Nidy Omega 20kg,kg,2.00,budget,0,Gladz x2 sciany ~2.0 kg/m2 (Excel start 1.3 + finish 0.7).,Шпаклёвка x2 стены ~2.0 кг/м2 (Excel старт 1.3 + финиш 0.7).,excel,Excel Matrix v3.0 Oferta,,"wiersz 8.12 arkusza Oferta, kolumny start+finish"
8.12,Gładzie x2 - ściany (odp. Q3),m2,construction,GLADZ_GIPSOWA,Gładź gipsowa Atlas Omega 20kg,kg,2.00,budget,0,Analog budzetowy; gladz x2 sciany ~2.0 kg/m2.,Бюджетный аналог; шпаклёвка x2 стены ~2.0 кг/м2.,producer_tds,Atlas Omega — Karta produktu,https://www.atlas.com.pl/produkt/omega/,sekcja srednie zuzycie (~0.8 kg/m2/mm)
8.12,Gładzie x2 - ściany (odp. Q3),m2,construction,GLADZ_POLIMEROWA,Gładź polimerowa Śnieżka Acryl-Putz ST20 Start,kg,1.90,norm,0,Wariant norm; polimerowa gladz Acryl-Putz ST20 Start x2 sciany ~1.9 kg/m2 wg zuzycia z karty.,Вариант norm; полимерная шпаклёвка Acryl-Putz ST20 Start x2 стены ~1.9 кг/м2 по расходу из карты.,producer_tds,Śnieżka ACRYL-PUTZ ST20 Start — Karta techniczna,https://www.acrylputz.pl/dokumentacja,"karta ST20 START, sekcja Zuzycie"
8.12,Gładzie x2 - ściany (odp. Q3),m2,construction,GLADZ_GOTOWA_MASA,Gotowa gładź polimerowa Śnieżka Acryl-Putz FS20 Finisz,kg,1.70,lux,0,Wariant lux; gotowa masa finiszowa Acryl-Putz FS20 x2 sciany ~1.7 kg/m2.,Вариант lux; готовая финишная масса Acryl-Putz FS20 x2 стены ~1.7 кг/м2.,producer_tds,Śnieżka ACRYL-PUTZ FS20 Finisz — Karta techniczna,https://www.acrylputz.pl/dokumentacja,"karta FS20 FINISZ, sekcja Zuzycie"
8.13,Gładzie x3+ - glify okienne lub wnęki (odp. Q4),mb,construction,GLADZ_GIPSOWA,Gładź gipsowa Dolina Nidy Omega 20kg,kg,1.40,budget,0,"Gladz x3+ na glifie ~1.4 kg/mb - metraz glifu waski, norma plaska niezaleznie od liczby warstw (konwencja pilota).","Шпаклёвка x3+ на откосе ~1.4 кг/пм - метраж откоса узкий, норма плоская независимо от числа слоёв (соглашение пилота).",excel,Excel Matrix v3.0 Oferta,,"wiersz 8.13 arkusza Oferta, kolumny start+finish"
8.13,Gładzie x3+ - glify okienne lub wnęki (odp. Q4),mb,construction,GLADZ_GIPSOWA,Gładź gipsowa Atlas Omega 20kg,kg,1.40,budget,0,Analog budzetowy; gladz x3+ na glifie ~1.4 kg/mb.,Бюджетный аналог; шпаклёвка x3+ на откосе ~1.4 кг/пм.,producer_tds,Atlas Omega — Karta produktu,https://www.atlas.com.pl/produkt/omega/,sekcja srednie zuzycie (~0.8 kg/m2/mm)
8.13,Gładzie x3+ - glify okienne lub wnęki (odp. Q4),mb,construction,GLADZ_POLIMEROWA,Gładź gipsowa Knauf MP Finish 25kg,kg,1.30,norm,0,Wariant norm; gladz Knauf MP Finish na glifie ~1.3 kg/mb.,Вариант norm; шпаклёвка Knauf MP Finish на откосе ~1.3 кг/пм.,producer_tds,Knauf MP/Multi-Finish — Karta produktu,https://knauf.com/de-DE/p/produkt/multi-finish-10268_0010,sekcja Verbrauch (~1 kg/m2/mm)
8.13,Gładzie x3+ - glify okienne lub wnęki (odp. Q4),mb,construction,GLADZ_GOTOWA_MASA,Gotowa masa szpachlowa Knauf Super Finish 28kg,kg,1.20,lux,0,Wariant lux; gotowa masa Super Finish na glifie ~1.2 kg/mb.,Вариант lux; готовая масса Super Finish на откосе ~1.2 кг/пм.,producer_tds,Knauf Super Finish — Karta produktu,https://knauf.com/de-DE/p/produkt/super-finish-11410_0010,sekcja Verbrauch
8.14,Gładzie x3+ - sufit (odp. Q4),m2,construction,GLADZ_GIPSOWA,Gładź gipsowa Dolina Nidy Omega 20kg,kg,2.80,budget,0,"Gladz x3+ sufitu ~2.8 kg/m2 - anchor Excela 1.3/0.7 dotyczy x2, dla Q4 doliczono dodatkowa warstwe (deviation od Excela udokumentowana).","Шпаклёвка x3+ потолка ~2.8 кг/м2 - якорь Excel 1.3/0.7 относится к x2, для Q4 добавлен доп. слой (отклонение от Excel задокументировано).",expert,Excel Matrix v3.0 Oferta + korekta ekspercka Q4,,wiersz 8.14 arkusza Oferta (x2) + doliczona warstwa dla Q4
8.14,Gładzie x3+ - sufit (odp. Q4),m2,construction,GLADZ_GIPSOWA,Gładź gipsowa Atlas Omega 20kg,kg,2.80,budget,0,Analog budzetowy; gladz x3+ sufitu ~2.8 kg/m2 (dodatkowa warstwa dla Q4).,Бюджетный аналог; шпаклёвка x3+ потолка ~2.8 кг/м2 (доп. слой для Q4).,producer_tds,Atlas Omega — Karta produktu,https://www.atlas.com.pl/produkt/omega/,sekcja srednie zuzycie (~0.8 kg/m2/mm)
8.14,Gładzie x3+ - sufit (odp. Q4),m2,construction,GLADZ_POLIMEROWA,Gładź gipsowa Knauf MP Finish 25kg,kg,2.60,norm,0,Wariant norm; gladz Knauf MP Finish x3+ sufitu ~2.6 kg/m2 (lepsze krycie).,Вариант norm; шпаклёвка Knauf MP Finish x3+ потолка ~2.6 кг/м2 (лучшее укрытие).,producer_tds,Knauf MP/Multi-Finish — Karta produktu,https://knauf.com/de-DE/p/produkt/multi-finish-10268_0010,sekcja Verbrauch (~1 kg/m2/mm)
8.14,Gładzie x3+ - sufit (odp. Q4),m2,construction,GLADZ_GOTOWA_MASA,Gotowa masa szpachlowa Knauf Super Finish 28kg,kg,2.40,lux,0,Wariant lux; gotowa masa Super Finish x3+ sufitu ~2.4 kg/m2 cienkimi warstwami.,Вариант lux; готовая масса Super Finish x3+ потолка ~2.4 кг/м2 тонкими слоями.,producer_tds,Knauf Super Finish — Karta produktu,https://knauf.com/de-DE/p/produkt/super-finish-11410_0010,sekcja Verbrauch
8.15,Gładzie x3+ - ściany (odp. Q4),m2,construction,GLADZ_GIPSOWA,Gładź gipsowa Dolina Nidy Omega 20kg,kg,2.80,budget,0,"Gladz x3+ sciany ~2.8 kg/m2 - anchor Excela 1.3/0.7 dotyczy x2, dla Q4 doliczono dodatkowa warstwe (deviation udokumentowana).","Шпаклёвка x3+ стены ~2.8 кг/м2 - якорь Excel 1.3/0.7 относится к x2, для Q4 добавлен доп. слой (отклонение задокументировано).",expert,Excel Matrix v3.0 Oferta + korekta ekspercka Q4,,wiersz 8.15 arkusza Oferta (x2) + doliczona warstwa dla Q4
8.15,Gładzie x3+ - ściany (odp. Q4),m2,construction,GLADZ_GIPSOWA,Gładź gipsowa Atlas Omega 20kg,kg,2.80,budget,0,Analog budzetowy; gladz x3+ sciany ~2.8 kg/m2 (dodatkowa warstwa dla Q4).,Бюджетный аналог; шпаклёвка x3+ стены ~2.8 кг/м2 (доп. слой для Q4).,producer_tds,Atlas Omega — Karta produktu,https://www.atlas.com.pl/produkt/omega/,sekcja srednie zuzycie (~0.8 kg/m2/mm)
8.15,Gładzie x3+ - ściany (odp. Q4),m2,construction,GLADZ_POLIMEROWA,Gładź polimerowa Śnieżka Acryl-Putz ST20 Start,kg,2.60,norm,0,Wariant norm; polimerowa gladz Acryl-Putz ST20 Start x3+ sciany ~2.6 kg/m2.,Вариант norm; полимерная шпаклёвка Acryl-Putz ST20 Start x3+ стены ~2.6 кг/м2.,producer_tds,Śnieżka ACRYL-PUTZ ST20 Start — Karta techniczna,https://www.acrylputz.pl/dokumentacja,"karta ST20 START, sekcja Zuzycie"
8.15,Gładzie x3+ - ściany (odp. Q4),m2,construction,GLADZ_GOTOWA_MASA,Gotowa gładź polimerowa Śnieżka Acryl-Putz FS20 Finisz,kg,2.40,lux,0,Wariant lux; gotowa masa finiszowa Acryl-Putz FS20 x3+ sciany ~2.4 kg/m2.,Вариант lux; готовая финишная масса Acryl-Putz FS20 x3+ стены ~2.4 кг/м2.,producer_tds,Śnieżka ACRYL-PUTZ FS20 Finisz — Karta techniczna,https://www.acrylputz.pl/dokumentacja,"karta FS20 FINISZ, sekcja Zuzycie"
8.16,Szpachlowanie po kablach elektrycznych,szt,construction,GLADZ_GIPSOWA,Gładź gipsowa Dolina Nidy Omega 20kg,kg,0.30,budget,0,Brak normy w Excelu; miejscowe szpachlowanie bruzdy po kablu zuzywa ~0.3 kg gladzi na sztuke (zalozenie eksperckie).,Нормы в Excel нет; локальная заделка штробы после кабеля расходует ~0.3 кг шпаклёвки на штуку (экспертное допущение).,expert,Zalozenie eksperckie (brak normy Excel/KNR),,brak lokatora - wartosc ekspercka ~0.3 kg/szt
8.16,Szpachlowanie po kablach elektrycznych,szt,construction,GLADZ_POLIMEROWA,Gładź gipsowa Knauf MP Finish 25kg,kg,0.30,norm,0,Wariant norm; miejscowe szpachlowanie bruzdy ~0.3 kg gladzi na sztuke (zalozenie eksperckie).,Вариант norm; локальная заделка штробы ~0.3 кг шпаклёвки на штуку (экспертное допущение).,expert,Zalozenie eksperckie (brak normy Excel/KNR),,brak lokatora - wartosc ekspercka ~0.3 kg/szt
